#{"t_start": 1618813365.1585145, "env_id": null}
r,l,t
8.0,102,5.974022
7.0,88,9.030387
8.0,107,12.600284
3.0,60,14.319537
6.0,102,17.78548
6.0,93,21.166869
8.0,103,24.850687
8.0,103,28.554165
7.0,86,31.631039
8.0,102,35.321266
8.0,103,38.964225
7.0,108,42.881065
8.0,103,46.576051
8.0,101,50.204783
14.0,214,58.015041
7.0,88,61.252226
8.0,108,64.941359
6.0,94,68.246165
6.0,91,71.532272
8.0,103,75.216737
7.0,89,78.329449
7.0,87,81.428059
8.0,103,85.009912
8.0,103,88.768779
7.0,86,91.937157
8.0,101,95.576434
14.0,208,103.154535
7.0,86,106.296695
5.0,104,109.993505
8.0,103,113.717395
9.0,143,118.99067
7.0,84,122.017381
13.0,190,129.040323
11.0,165,135.017592
4.0,69,137.445885
11.0,157,143.116021
5.0,92,146.395867
8.0,101,149.84192
3.0,60,151.980803
8.0,103,155.632711
8.0,108,159.49747
8.0,102,163.189666
5.0,68,165.678107
10.0,158,171.223493
7.0,85,174.290895
11.0,157,179.941271
8.0,102,183.708542
5.0,70,186.225161
8.0,101,189.901146
12.0,158,195.710062
8.0,101,199.321829
8.0,147,204.521102
8.0,108,208.362952
7.0,86,211.494872
6.0,93,214.85316
7.0,87,217.976166
7.0,90,221.357871
9.0,128,225.794761
11.0,165,231.729461
8.0,102,235.309376
7.0,89,238.528314
8.0,102,242.124515
12.0,158,247.714829
6.0,69,250.134962
8.0,103,253.843571
4.0,68,256.338991
11.0,158,261.813009
7.0,88,264.961224
7.0,89,268.128959
6.0,93,271.34715
8.0,102,274.924239
8.0,102,278.497435
8.0,102,282.094863
8.0,107,285.971288
7.0,88,289.099722
7.0,88,292.206657
7.0,94,295.6021
6.0,95,299.01292
8.0,123,303.382789
7.0,88,306.609762
8.0,106,310.353731
6.0,91,313.653574
7.0,87,316.747284
7.0,101,320.343533
8.0,101,323.84168
7.0,87,326.863518
7.0,102,330.468569
4.0,69,332.997324
8.0,114,336.985456
8.0,101,340.575379
3.0,61,342.763813
8.0,101,346.31534
8.0,101,350.051332
12.0,157,355.781454
4.0,70,358.379511
9.0,125,362.906617
8.0,111,366.80162
6.0,93,370.113173
3.0,61,372.274486
7.0,88,375.352966
16.0,208,382.73508
8.0,101,386.247719
8.0,102,389.838125
7.0,103,393.533971
8.0,108,397.283344
6.0,96,400.463126
8.0,102,403.884856
14.0,192,410.646702
5.0,69,413.106647
8.0,107,416.759903
14.0,190,423.410231
12.0,167,429.388898
