#{"t_start": 1618548176.2107072, "env_id": "BreakoutNoFrameskip-v0"}
r,l,t
0.0,23,3.118114
0.0,23,3.367876
0.0,23,3.582188
0.0,25,3.814371
0.0,29,4.082415
1.0,71,5.717479
0.0,30,6.008778
0.0,44,7.192248
0.0,28,7.442428
1.0,73,8.1445
0.0,23,9.12831
1.0,74,9.812728
1.0,76,11.247624
0.0,27,11.527834
0.0,27,11.791364
0.0,23,12.0108
0.0,27,12.986938
0.0,33,13.299775
0.0,27,13.562771
2.0,98,15.191968
0.0,23,15.428406
0.0,25,15.68165
0.0,33,15.988511
0.0,23,16.951191
0.0,31,17.2392
0.0,23,17.471496
0.0,27,17.726296
0.0,25,17.968694
0.0,25,18.952787
1.0,65,19.588958
1.0,69,21.050601
1.0,52,21.532353
0.0,23,21.744907
0.0,27,22.008693
1.0,76,23.541854
0.0,23,23.760939
2.0,122,25.671482
0.0,25,25.930982
0.0,27,26.935294
0.0,25,27.176095
1.0,70,27.83429
0.0,27,28.853486
0.0,25,29.096918
1.0,72,29.792466
0.0,25,30.031117
0.0,23,31.004617
0.0,25,31.234226
0.0,23,31.455765
1.0,70,32.899933
0.0,23,33.119247
0.0,23,33.362254
0.0,27,33.633086
0.0,25,33.869725
0.0,23,34.831378
0.0,25,35.066709
0.0,23,35.301691
0.0,23,35.531089
0.0,28,35.790111
0.0,25,36.783315
0.0,23,37.009811
0.0,23,37.233904
0.0,36,37.559779
2.0,109,39.351717
0.0,31,39.640816
0.0,23,39.85335
0.0,23,40.853777
2.0,104,41.839954
1.0,73,43.307806
0.0,26,43.549938
1.0,75,45.032696
2.0,98,46.715711
1.0,78,47.446584
0.0,27,47.736537
0.0,23,48.685552
0.0,29,48.972862
0.0,23,49.206908
0.0,33,49.518549
2.0,98,51.212634
0.0,26,51.457026
0.0,26,51.704872
0.0,23,52.667264
0.0,23,52.886474
0.0,29,53.171834
0.0,23,53.391127
2.0,98,55.053348
2.0,98,56.745682
1.0,73,57.448498
1.0,74,58.891486
0.0,23,59.128307
1.0,75,60.577304
0.0,23,60.815511
0.0,25,61.048679
0.0,23,61.254913
1.0,58,62.534942
0.0,28,62.79869
0.0,23,63.016001
0.0,25,63.251304
0.0,26,63.501712
0.0,25,64.456413
0.0,23,64.686074
0.0,23,64.917407
0.0,23,65.138115
0.0,25,65.36994
0.0,23,66.295086
0.0,25,66.533081
0.0,23,66.787286
0.0,28,67.040168
0.0,27,67.274945
0.0,31,68.275021
0.0,28,68.535638
0.0,23,68.763669
0.0,28,69.02661
0.0,27,69.272234
0.0,29,70.272885
0.0,28,70.544591
2.0,98,72.189434
0.0,23,72.404627
1.0,74,73.115151
0.0,23,74.05807
2.0,123,75.199951
0.0,23,76.147453
0.0,27,76.386033
0.0,28,76.663824
0.0,25,76.884434
1.0,71,78.252893
1.0,51,78.724484
0.0,25,78.957896
0.0,26,79.913488
1.0,70,80.551368
0.0,26,80.775965
0.0,23,81.723492
0.0,26,81.957118
0.0,28,82.216542
0.0,23,82.429069
0.0,28,82.679288
0.0,23,83.630184
0.0,23,83.837009
0.0,27,84.100281
1.0,51,84.56955
3.0,169,87.595495
0.0,23,87.811245
0.0,28,88.057223
0.0,23,88.28689
0.0,23,88.507834
0.0,28,89.480463
0.0,23,89.691376
2.0,120,91.489376
0.0,25,91.736326
0.0,25,91.965312
0.0,23,92.164473
0.0,23,93.102857
0.0,25,93.323414
0.0,42,93.695778
0.0,23,93.938689
0.0,28,94.193865
0.0,23,95.133278
0.0,26,95.370756
2.0,98,97.021408
0.0,26,97.26566
0.0,35,97.57207
2.0,98,99.218391
0.0,23,99.452342
0.0,26,99.690573
1.0,84,101.183481
1.0,76,101.853074
0.0,23,102.808851
0.0,34,103.140415
0.0,27,103.377796
0.0,25,103.598534
0.0,28,104.570406
0.0,23,104.801809
2.0,102,106.470107
0.0,31,106.75245
1.0,58,107.293281
0.0,35,107.613375
0.0,23,108.559983
2.0,98,109.484665
0.0,28,110.448158
0.0,29,110.71104
1.0,71,111.367232
2.0,98,112.982542
3.0,154,115.136298
0.0,23,116.094972
1.0,75,116.795343
1.0,82,118.268305
0.0,23,118.506082
2.0,109,120.242921
2.0,100,121.873974
0.0,25,122.108214
1.0,74,122.771317
0.0,23,123.742421
0.0,28,123.998342
0.0,31,124.292653
2.0,98,125.923911
0.0,27,126.15875
0.0,23,126.38444
0.0,31,126.657282
0.0,26,127.627292
2.0,98,128.520909
0.0,45,129.666258
2.0,98,131.322029
0.0,30,131.604315
1.0,75,132.294028
0.0,25,133.280308
0.0,23,133.493361
2.0,98,134.392235
2.0,102,136.093218
0.0,27,136.361292
0.0,23,137.294049
1.0,76,137.983069
2.0,98,139.647666
0.0,26,139.898092
0.0,26,140.151567
0.0,23,141.081037
1.0,76,141.792698
0.0,23,142.038945
0.0,30,143.030228
0.0,27,143.286416
0.0,28,143.547943
0.0,25,143.784185
2.0,98,145.398746
2.0,102,147.088586
0.0,27,147.333963
1.0,81,148.795594
1.0,78,149.516038
2.0,98,151.148633
1.0,77,152.587609
